Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
Dover,Natalie Elphicke,Con,76355,50701,12278,24%,28830,16552,2895
Middlesbrough South and East Cleveland,Simon Clarke,Con,72348,47817,11626,24%,28135,16509,1953
Totnes,Anthony Mangnall,Con,69863,52182,12724,24%,27751,8860,15027
Witney,Robert Courts,Con,83845,61305,15177,25%,33856,8770,18679
Telford,Lucy Allan,Con,68921,42825,10941,26%,25546,14605,2674
Basingstoke,Maria Miller,Con,82928,54713,14198,26%,29593,15395,6841
North East Somerset,Jacob Rees-Mogg,Con,73692,56308,14729,26%,28360,13631,12422
North East Derbyshire,Lee Rowley,Con,72345,49217,12876,26%,28897,16021,3021
Rugby,Mark Pawsey,Con,72292,50814,13447,26%,29255,15808,4207
Eastleigh,Paul Holmes,Con,83880,58971,15607,26%,32690,7559,17083
Rochford and Southend East,James Duddridge,Con,75624,46136,12286,27%,27063,14777,2822
North Devon,Selaine Saxby,Con,75859,55581,14813,27%,31479,5097,16666
Banbury,Victoria Prentis,Con,90116,62921,16813,27%,34148,17335,8831
Newbury,Laura Farris,Con,83414,59998,16047,27%,34431,4404,18384
Tunbridge Wells,Gregory Clark,Con,74823,54650,14645,27%,30119,8098,15474
Worthing West,Peter Bottomley,Con,78585,54648,14823,27%,30475,15652,6024
Beaconsfield,Joy Morrissey,Con,77720,57868,15712,27%,32477,5756,0
Yeovil,Marcus Fysh,Con,82468,59260,16181,27%,34588,3761,18407
Bassetlaw,Brendan Clarke-Smith,Con,80024,50841,14013,28%,28078,14065,3332
Stafford,Theo Clarke,Con,72572,51149,14377,28%,29992,15615,3175
Beckenham,Bob Stewart,Con,68662,50555,14258,28%,27282,13024,8194
North Somerset,Liam Fox,Con,80194,62055,17536,28%,32801,15265,11051
North Norfolk,Duncan Baker,Con,70729,50823,14395,28%,29792,3895,15397
Hemel Hempstead,Mike Penning,Con,74035,51271,14563,28%,28968,14405,6317
Stoke-On-Trent South,Jack Brereton,Con,64491,39604,11271,28%,24632,13361,1611
Halesowen and Rowley Regis,James Morris,Con,68300,42345,12074,29%,25607,13533,1738
North Cornwall,Scott Mann,Con,69935,51678,14752,29%,30671,4516,15919
Aylesbury,Rob Butler,Con,86665,60576,17373,29%,32737,15364,10081
Mid Sussex,Mims Davies,Con,85146,62762,18197,29%,33455,11218,15258
Nuneaton,Marcus Jones,Con,70226,45190,13144,29%,27390,14246,1862
Chesham and Amersham,Cheryl Gillan,Con,72542,55685,16223,29%,30850,7166,14627
"Plymouth, Moor View",Johnny Mercer,Con,69430,44239,12897,29%,26831,13934,2301
North Swindon,Justin Tomlinson,Con,82441,55115,16171,29%,32584,16413,4408
Somerton and Frome,David Warburton,Con,85866,64896,19213,30%,36230,8354,17017
St Austell and Newquay,Steve Double,Con,79930,55776,16526,30%,31273,14747,5861
Stourbridge,Suzanne Webb,Con,69891,45689,13571,30%,27534,13963,2523
Burton,Kate Griffiths,Con,75036,48738,14496,30%,29560,15064,2681
Elmet and Rothwell,Alec Shelbrooke,Con,80957,58225,17353,30%,33726,16373,5155
Epsom and Ewell,Chris Grayling,Con,81138,59451,17873,30%,31819,10226,13946
Harborough,Neil O'Brien,Con,80151,57319,17278,30%,31698,14420,9103
Bexleyheath and Crayford,David Evennett,Con,65466,43246,13103,30%,25856,12753,2819
Mid Dorset and North Poole,Michael Tomlinson,Con,65427,48930,14898,30%,29548,3402,14650
Central Devon,Mel Stride,Con,74296,58072,17721,31%,32095,14374,8770
Sherwood,Mark Spencer,Con,77888,52709,16186,31%,32049,15863,2883
Weston-Super-Mare,John Penrose,Con,82526,55614,17121,31%,31983,14862,6935
Forest Of Dean,Mark Harper,Con,71438,51475,15869,31%,30680,14811,0
Chelmsford,Vicky Ford,Con,80394,57122,17621,31%,31934,10295,14313
"Ruislip, Northwood and Pinner",David Simmonds,Con,72816,52904,16394,31%,29391,12997,7986
Southend West,David Amess,Con,69043,46537,14459,31%,27555,13096,5312
Mid Derbyshire,Pauline Latham,Con,67442,49356,15385,31%,29027,13642,4756
Surrey Heath,Michael Gove,Con,81349,58654,18349,31%,34358,5407,16009
Dudley North,Marco Longhi,Con,61936,36684,11533,31%,23134,11601,1210
Wyre and Preston North,Ben Wallace,Con,74775,52924,16781,32%,31589,14808,4463
Isle Of Wight,Bob Seely,Con,113021,74442,23737,32%,41815,18078,0
Buckingham,Greg Smith,Con,83146,63458,20411,32%,37035,7638,16624
North Wiltshire,James Gray,Con,73280,54758,17626,32%,32373,5699,14747
Congleton,Fiona Bruce,Con,80930,57233,18561,32%,33747,15186,6026
Harlow,Robert Halfon,Con,68078,43354,14063,32%,27510,13447,2397
Hertford and Stortford,Julie Marson,Con,81765,60094,19620,33%,33712,14092,8596
Walsall North,Eddie Hughes,Con,67177,36556,11965,33%,23334,11369,1236
Gravesham,Adam Holloway,Con,73242,47560,15581,33%,29580,13999,2584
Huntingdon,Jonathan Djanogly,Con,84657,59147,19383,33%,32386,13003,9432
North East Hertfordshire,Oliver Heald,Con,76123,55327,18189,33%,31293,13104,8563
Rochester and Strood,Kelly Tolhurst,Con,82056,51926,17072,33%,31151,14079,3717
Gillingham and Rainham,Rehman Chishti,Con,73549,45958,15119,33%,28173,13054,2503
The Cotswolds,Geoffrey Clifton-Brown,Con,81939,61176,20214,33%,35484,7110,15270
Mansfield,Ben Bradley,Con,77131,49273,16306,33%,31484,15178,1626
Newton Abbot,Anne Marie Morris,Con,72529,52556,17501,33%,29190,9329,11689
Ribble Valley,Nigel Evans,Con,79247,55284,18439,33%,33346,14907,4776
Maidenhead,Theresa May,Con,76668,56492,18846,33%,32620,7882,13774
Horsham,Jeremy Quin,Con,86730,63242,21127,33%,35900,9424,14773
South Dorset,Richard Drax,Con,73809,51058,17153,34%,30024,12871,5432
Kettering,Philip Hollobone,Con,73164,49361,16765,34%,29787,13022,3367
South Norfolk,Richard Bacon,Con,86214,62484,21275,34%,36258,14983,8744
North East Hampshire,Ranil Jayawardena,Con,78954,59270,20211,34%,35280,5760,15069
Runnymede and Weybridge,Ben Spencer,Con,77196,53289,18270,34%,29262,10992,9236
Portsmouth North,Penny Mordaunt,Con,71299,45910,15780,34%,28172,12392,3419
Reigate,Crispin Blunt,Con,74242,53156,18310,34%,28665,10355,10320
East Hampshire,Damian Hinds,Con,76478,56895,19696,35%,33446,6287,13750
Derbyshire Dales,Sarah Dines,Con,65080,50016,17381,35%,29356,11975,6627
Eddisbury,Edward Timpson,Con,73700,52971,18443,35%,30095,11652,9582
Aldershot,Leo Docherty,Con,72617,47932,16698,35%,27980,11282,6920
South West Bedfordshire,Andrew Selous,Con,79926,53307,18583,35%,32212,13629,5435
Chichester,Gillian Keegan,Con,85499,61243,21490,35%,35402,9069,13912
Torbay,Kevin Foster,Con,75054,50426,17749,35%,29863,6562,12114
Waveney,Peter Aldous,Con,82791,51129,18002,35%,31778,13776,2603
Suffolk Coastal,Thérèse Coffey,Con,81910,58308,20533,35%,32958,12425,8719
Berwick-Upon-Tweed,Anne-Marie Trevelyan,Con,59939,42109,14835,35%,23947,9112,7656
Dartford,Gareth Johnson,Con,82209,54023,19160,35%,34006,14846,3736
Montgomeryshire,Craig Williams,Con,48997,34214,12138,35%,20020,5585,7882
Tatton,Esther McVey,Con,69018,48967,17387,36%,28277,10890,7712
Fylde,Mark Menzies,Con,66847,46659,16611,36%,28432,11821,3748
North Thanet,Roger Gale,Con,72756,48178,17189,36%,30066,12877,3439
Selby and Ainsty,Nigel Adams,Con,78398,56418,20137,36%,33995,13858,4842
Wellingborough,Peter Bone,Con,80765,51913,18540,36%,32277,13737,4078
Folkestone and Hythe,Damian Collins,Con,88272,59005,21337,36%,35483,14146,5755
South Derbyshire,Heather Wheeler,Con,79331,53381,19335,36%,33502,14167,3924
Stratford-On-Avon,Nadhim Zahawi,Con,74037,55048,19972,36%,33343,6222,13371
Redditch,Rachel Maclean,Con,65391,44067,16036,36%,27907,11871,2905
Bracknell,James Sunderland,Con,78978,54350,19829,36%,31894,12065,7749
Tewkesbury,Laurence Robertson,Con,83958,61140,22410,37%,35728,9310,13318
Arundel and South Downs,Andrew Griffith,Con,81726,61408,22521,37%,35566,9722,13045
Salisbury,John Glen,Con,74556,53730,19736,37%,30280,9675,10544
