Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
Stockport,Navendu Mishra,Lab,65391,41715,10039,24%,11656,21695,5043
Thurrock,Jacqueline Doyle-Price,Con,79659,47467,11482,24%,27795,16313,1510
Dover,Natalie Elphicke,Con,76355,50701,12278,24%,28830,16552,2895
Ealing Central and Acton,Rupa Huq,Lab,75510,54807,13300,24%,14832,28132,9444
Middlesbrough South and East Cleveland,Simon Clarke,Con,72348,47817,11626,24%,28135,16509,1953
Totnes,Anthony Mangnall,Con,69863,52182,12724,24%,27751,8860,15027
East Londonderry,Gregory Campbell,DUP,69246,39302,9607,24%,0,0,0
Tooting,Rosena Allin-Khan,Lab,76954,58473,14307,24%,16504,30811,8305
Livingston,Hannah Bardell,SNP,82285,54592,13435,25%,12182,11915,3457
Middlesbrough,Andy McDonald,Lab,60764,34097,8395,25%,8812,17207,816
Norwich South,Clive Lewis,Lab,77845,51673,12760,25%,15006,27766,4776
Ealing North,James Murray,Lab,74473,49631,12269,25%,15767,28036,4370
Hampstead and Kilburn,Tulip Siddiq,Lab,86571,57385,14188,25%,13892,28080,13121
Witney,Robert Courts,Con,83845,61305,15177,25%,33856,8770,18679
Paisley and Renfrewshire South,Mhairi Black,SNP,64385,43084,10679,25%,7571,10958,2918
"Birmingham, Yardley",Jess Phillips,Lab,74704,42678,10659,25%,12720,23379,3754
Oldham West and Royton,Jim McMahon,Lab,72999,44434,11127,25%,13452,24579,1484
Westminster North,Karen Buck,Lab,65519,42911,10759,25%,12481,23240,5593
"Birmingham, Selly Oak",Stephen McCabe,Lab,82665,49467,12414,25%,15300,27714,3169
Cardiff South and Penarth,Stephen Doughty,Lab,78837,50579,12737,25%,14645,27382,2985
South Shields,Emma Lewell-Buck,Lab,62793,37882,9585,25%,7688,17273,1514
Telford,Lucy Allan,Con,68921,42825,10941,26%,25546,14605,2674
St Helens North,Conor McGinn,Lab,75593,47561,12209,26%,12661,24870,2668
Basingstoke,Maria Miller,Con,82928,54713,14198,26%,29593,15395,6841
Nottingham South,Lilian Greenwood,Lab,79485,48134,12568,26%,14018,26586,3935
North East Somerset,Jacob Rees-Mogg,Con,73692,56308,14729,26%,28360,13631,12422
North East Derbyshire,Lee Rowley,Con,72345,49217,12876,26%,28897,16021,3021
Leeds West,Rachel Reeves,Lab,67727,40281,10564,26%,11622,22186,1787
Rugby,Mark Pawsey,Con,72292,50814,13447,26%,29255,15808,4207
Eastleigh,Paul Holmes,Con,83880,58971,15607,26%,32690,7559,17083
Kilmarnock and Loudoun,Alan Brown,SNP,74517,47631,12659,27%,11557,9009,2444
Rochford and Southend East,James Duddridge,Con,75624,46136,12286,27%,27063,14777,2822
North Devon,Selaine Saxby,Con,75859,55581,14813,27%,31479,5097,16666
